0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	1.44811	2.83155	4.20806	5.60483	6.96839	8.31723	9.6656	11.0546	12.3511	13.6615	14.9676	16.3119	17.7002	19.127	20.5077	21.8648	23.3084	24.7931	26.2519	27.6839	29.1422	30.5449	31.9211	33.304	34.7261	36.2209	37.7074	39.2103	40.6612	42.0742	43.4581	44.7723	46.1198	47.5037	48.8572	50.2137	51.5838	52.9814	54.4561	55.8767	57.2852	58.6066	59.9703	61.3883	62.7028	64.0408	65.3678	66.6624	67.9763
0	1.46411	2.78471	4.1134	5.55072	6.94105	8.26178	9.61045	10.9712	12.3447	13.667	14.9635	16.2266	17.4779	18.7182	20.0081	21.2817	22.4976	23.7555	25.0367	26.3212	27.6445	28.9682	30.2924	31.6477	32.9916	34.3461	35.7331	37.1648	38.5902	40.0461	41.4356	42.8573	44.2297	45.6137	47.029	48.4496	49.8385	51.1883	52.5271	53.8192	55.1686	56.4954	57.8218	59.1676	60.5663	61.9795	63.3567	64.7129	66.0131
0	1.44275	2.82824	4.16531	5.49471	6.84554	8.15783	9.50654	10.8212	12.2242	13.6044	14.9909	16.3782	17.756	19.1211	20.4958	21.8092	23.1101	24.3967	25.6727	26.9957	28.31	29.6847	31.0931	32.4813	33.8678	35.277	36.6304	37.9635	39.322	40.6549	42.0388	43.4786	44.8919	46.36	47.8429	49.2637	50.6762	52.1675	53.6717	55.1679	56.7271	58.284	59.9247	61.6202	63.3002	65.0138	66.6548	68.2895	69.958
0	1.40941	2.77171	4.09818	5.43821	6.86489	8.31063	9.81464	11.2667	12.679	14.115	15.5562	16.9724	18.3494	19.6446	20.9562	22.3298	23.7469	25.1278	26.4804	27.8483	29.22	30.6181	32.0757	33.5042	34.9435	36.3123	37.7008	39.1494	40.6377	42.1869	43.7535	45.3398	46.9563	48.5806	50.1868	51.8209	53.4007	54.9563	56.5375	58.0868	59.6354	61.2661	62.8471	64.417	65.9671	67.6074	69.2119	70.8152	72.4074
0	1.45879	2.80617	4.12696	5.49879	6.87847	8.25461	9.60911	10.9827	12.3771	13.8593	15.3216	16.7949	18.2357	19.6292	21.0266	22.3525	23.6532	24.9547	26.2506	27.532	28.8172	30.1318	31.4609	32.7719	34.1012	35.4299	36.7515	38.0694	39.3341	40.6314	41.9724	43.2628	44.5066	45.7896	47.043	48.2619	49.4472	50.5767	51.769	52.9334	54.1089	55.2411	56.4082	57.5219	58.6497	59.7441	60.8976	62.0302	63.1068
0	1.4691	2.83538	4.20178	5.63707	7.04262	8.4731	9.84298	11.1698	12.5468	13.9014	15.2398	16.556	17.9107	19.3053	20.7529	22.1555	23.6073	25.0668	26.4392	27.7714	29.1056	30.4496	31.8168	33.2139	34.5903	35.9444	37.2793	38.5867	39.904	41.2039	42.5293	43.8741	45.1838	46.5801	47.977	49.4071	50.8083	52.1457	53.5129	54.7988	56.0886	57.4066	58.7742	60.054	61.3084	62.6464	63.9297	65.2198	66.4935
0	1.47365	2.84129	4.16753	5.51245	6.82258	8.11158	9.47297	10.8169	12.2351	13.7455	15.2354	16.6694	18.1084	19.5519	21.0216	22.4664	23.8341	25.2759	26.6836	28.0553	29.4209	30.7831	32.1517	33.4034	34.6581	35.9228	37.2819	38.6066	39.9046	41.1869	42.4426	43.6959	44.9481	46.1573	47.4021	48.6064	49.8167	51.042	52.2459	53.4623	54.6327	55.7202	56.7641	57.8131	58.8524	59.9057	60.9593	61.9959	63.0455
0	1.42404	2.67115	3.87807	5.06528	6.22986	7.39749	8.59977	9.84078	11.137	12.4402	13.7253	15.028	16.2662	17.5186	18.8255	20.0959	21.3584	22.6064	23.8704	25.147	26.4139	27.7029	28.9492	30.1543	31.3475	32.5102	33.6871	34.7716	35.8803	36.9528	37.9762	39.047	40.1868	41.3371	42.4958	43.6261	44.7627	45.8944	46.9878	48.1309	49.2724	50.386	51.5098	52.5745	53.6221	54.6144	55.5846	56.664	57.7238
0	1.45347	2.7093	3.99768	5.2243	6.41761	7.65865	8.85133	10.0483	11.2186	12.3563	13.5038	14.6763	15.8269	16.9525	18.1695	19.2982	20.4767	21.622	22.7618	23.8899	24.9862	26.1178	27.1973	28.317	29.3695	30.4682	31.5305	32.525	33.6059	34.6502	35.704	36.722	37.7953	38.889	40.0078	41.2292	42.4576	43.6768	44.8502	46.0791	47.2992	48.4885	49.7113	50.9449	52.2337	53.5261	54.7821	56.017	57.2206
0	1.4555	2.80623	4.10176	5.35168	6.64774	7.85776	9.05635	10.2994	11.5944	12.8327	14.0384	15.2593	16.4774	17.6829	18.865	20.0497	21.225	22.4055	23.4996	24.6044	25.6889	26.7977	27.8835	28.998	30.109	31.2344	32.2929	33.2894	34.3213	35.3292	36.3501	37.2979	38.3133	39.3309	40.3807	41.4648	42.5509	43.547	44.5406	45.5694	46.6385	47.7426	48.8818	49.9802	51.0772	52.1628	53.2861	54.3438	55.3331
